"id","tmdb_id","media_type","title","rating","tmdb_backdrop","tmdb_poster","release_date","overview","createdAt","updatedAt"
331,28,"movie","Apocalypse Now",8.1,"https://image.tmdb.org/t/p/w780/k91Dag8AZbhjIJqrtf7F1bQnGPg.jpg","https://image.tmdb.org/t/p/w780/aMiwttiRhXuYDpyW3chvnW12mge.jpg","1979-08-15","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","2017-12-11 16:51:20.18-05","2017-12-11 16:51:20.18-05"
332,10784,"movie","Cabaret",7.5,"https://image.tmdb.org/t/p/w780/uYAmADjM0ZZvZHIeoEEZ2AbzZDi.jpg","https://image.tmdb.org/t/p/w780/qVMZrwZNJCiGpbpjsxdtzmVPH1M.jpg","1972-02-13","Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force.","2017-12-11 16:51:21.687-05","2017-12-11 16:51:21.687-05"
333,10774,"movie","Network",7.8,"https://image.tmdb.org/t/p/w780/cD3uUR1xEOB856YUlNxWYJwkuil.jpg","https://image.tmdb.org/t/p/w780/nFovf0eUlbdGRqjdxETFunUAtI0.jpg","1976-11-01","A TV network cynically exploits a deranged ex-TV anchor's ravings and revelations about the media for their own profit.","2017-12-11 16:51:23.193-05","2017-12-11 16:51:23.193-05"
334,33,"movie","Unforgiven",7.8,"https://image.tmdb.org/t/p/w780/nKYH8DaWjKE3RhEyaa0Ue01kPCp.jpg","https://image.tmdb.org/t/p/w780/km6qw4qUkHQRN5y2U1juM1WkBFh.jpg","1992-08-07","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.","2017-12-11 16:51:24.685-05","2017-12-11 16:51:24.685-05"
335,9576,"movie","Tootsie",6.9,"https://image.tmdb.org/t/p/w780/74Jh5SIWnKDwtusPfDP51EeCFHt.jpg","https://image.tmdb.org/t/p/w780/ngyCzZwb9y5sMUCig5JQT4Y33Q.jpg","1982-12-16","Michael Dorsey is an unemployed actor with an impossible reputation. In order to find work and fund his friend's play he dresses as a woman, Dorothy Michaels, and lands the part in a daytime drama. Dorsey loses himself in this woman role and essentially becomes Dorothy Michaels, captivating women all around the city and inspiring them to break free from the control of men and become more like Dorsey's initial identity. This newfound role, however, lands Dorsey in a hot spot between a female friend/'lover,' a female co-star he falls in love with, that co-star's father who falls in love with him, and a male co-star who yearns for his affection.","2017-12-11 16:51:26.187-05","2017-12-11 16:51:26.187-05"
336,638,"movie","Lost Highway",7.5,"https://image.tmdb.org/t/p/w780/zXSnRqXzM4OR9yNtenZ3dn6AFts.jpg","https://image.tmdb.org/t/p/w780/z6yhgEzGUJaBBgAxoyggRzwLnVM.jpg","1997-01-15","A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.","2017-12-11 16:51:29.198-05","2017-12-11 16:51:29.198-05"
337,13697,"movie","Grand Canyon",6.8,"https://image.tmdb.org/t/p/w780/5YAWqAf5NrvZKnlxKUK15kKi5Jl.jpg","https://image.tmdb.org/t/p/w780/zRgzeFhX7NuAWNsMuAoLEKI1n0R.jpg","1991-12-25","Grand Canyon revolved around six residents from different backgrounds whose lives intertwine in modern-day Los Angeles. At the center of the film is the unlikely friendship of two men from different races and classes brought together when one finds himself in jeopardy in the other's rough neighborhood.","2017-12-11 16:51:30.707-05","2017-12-11 16:51:30.707-05"
339,72387,"movie","Safe",6.3,"https://image.tmdb.org/t/p/w780/eZ7XAU70UcMvMsDajqphFeQNQ8S.jpg","https://image.tmdb.org/t/p/w780/eoiqqDHohBCDwFWQOvczUeNoixK.jpg","2012-04-16","After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.","2017-12-11 16:51:33.688-05","2017-12-11 16:51:33.688-05"
340,108401,"movie","Star Maps",5.3,,"https://image.tmdb.org/t/p/w780/oX3LxA4bg6U9HuGEcHL5wCiiLAC.jpg","1997-07-23","Carlos wants to be an actor. But his father, Pepe, wants him to work in the family business, that is, male prostitution. Carlos decides that he will be one of his father's boys until he can get his foot in the door in Hollywood.","2017-12-11 16:51:35.173-05","2017-12-11 16:51:35.173-05"
341,274906,"movie","The 50 Year Argument",7.3,"https://image.tmdb.org/t/p/w780/dlB2QavyWtnSnsepB25igKYWuBJ.jpg","https://image.tmdb.org/t/p/w780/4vgaBO4xsGTP6erS5ZTjHkzUBeW.jpg","2014-06-29","Directed by acclaimed filmmaker Martin Scorsese and his longtime documentary collaborator David Tedeschi, A 50 Year Argument rides the waves of literary, political, and cultural history as charted by the The New York Review of Books, America’s leading journal of ideas for over 50 years. Provocative, idiosyncratic and incendiary, the film weaves rarely seen archival material, contributor interviews, excerpts from writings by such icons as James Baldwin, Gore Vidal, and Joan Didion along with original verité footage filmed in the Review’s West Village offices. Confrontation and original argument are in the Review's DNA - the magazine seems as vital now as when it was run by its indefatigable founding editors, Robert Silvers and the late Barbara Epstein. Co-produced with the BBC's award-winning Arena and shaped by Scorcese's vivid filmmaking style, The Fifty Year Argument captures the power of ideas in influencing history.","2017-12-11 16:51:36.684-05","2017-12-11 16:51:36.684-05"
